participant_id,condition,count_time,count_topic,count_typing,seq_typing_mean_run_explore,PC1,PC2,PC3
138,clumpy,1.0,3.5,1.5,2.75,-1.2936569824046829,-0.890434503758447,0.42605735094636965
139,clumpy,2.0,2.0,2.0,1.0,-1.9969204305852681,0.8289838980353468,0.20465075206994254
140,diffuse,4.0,6.0,3.0,2.5,2.563822120825967,0.608753549140935,-0.18409848995218014
141,clumpy,2.5,6.5,3.0,2.583333333333333,2.3610039085935917,-0.6650213507723011,0.7304299552795078
142,clumpy,2.0,4.0,2.0,1.75,-0.29198630265029557,-0.21646385981665306,0.2200975965644374
143,clumpy,2.5,7.0,2.0,4.75,2.4750988039908712,-1.4471645097779073,-0.06028771472984151
144,diffuse,2.0,1.0,1.0,3.0,-3.161526131139219,0.8309265574187403,-0.597652051310278
145,diffuse,3.5,6.0,1.5,4.5,1.885930251207565,-0.50988926698972,-1.072411983615618
146,clumpy,1.5,5.5,1.0,10.5,0.464891741975765,-1.8588018845650047,-0.25934107316164334
147,diffuse,3.5,9.0,3.0,4.75,4.911539397989722,-1.2968890744538102,0.14262735482558375
149,diffuse,2.5,4.0,3.0,1.1666666666666665,0.22983624867487507,0.6417883465426988,0.7111213996613893
150,clumpy,0.5,2.0,1.0,1.5,-2.9381108113878507,-0.7042102819574958,0.3207381050450333
151,diffuse,1.0,5.0,1.0,5.0,-0.17102570474668433,-1.9349109319187503,0.04035279375075429
154,diffuse,1.0,2.5,1.0,7.0,-2.302193364665401,-0.6281012346037504,0.021044238132635784
155,clumpy,2.0,3.0,2.0,5.25,-1.1444533666177819,0.30626001910934686,0.21237417431718986
156,diffuse,2.5,4.5,3.0,2.5,0.6560697806586182,0.38042640707969877,0.714983110785013
157,diffuse,1.0,3.0,2.0,1.5,-1.5638211960951938,-0.3686819545241439,0.8194853303892327
160,diffuse,5.0,6.0,4.0,2.6666666666666665,3.295328586889843,1.8044767423170325,0.0033697351087509375
