participant_id,condition,typed_chars,pasted_chars,typed_share,n_typing_bursts,typing_duration_s,n_paste_events,prop_pages_with_writing,writing_gini,first_writing_page,first_writing_time_s,final_answer_length,seq_time_mean_run_explore,seq_time_mean_run_exploit,seq_time_max_run,seq_time_entropy,seq_time_lag1_autocorr,seq_topic_mean_run_explore,seq_topic_mean_run_exploit,seq_topic_max_run,seq_topic_entropy,seq_topic_lag1_autocorr,seq_typing_mean_run_explore,seq_typing_mean_run_exploit,seq_typing_max_run,seq_typing_entropy,seq_typing_lag1_autocorr
82,clumpy,430.0,0.0,1.0,2.0,25.32699999999994,0.0,0.1,0.9,10.0,423.035,480.0,4.0,1.0,7.0,0.7219280948873623,,1.0,4.5,8.0,0.4689955935892811,,9.0,1.0,9.0,0.4689955935892811,
85,diffuse,585.0,0.0,1.0,1.0,9.965,0.0,0.6,0.5107692307692308,1.0,16.121,606.0,1.0,2.0,3.0,0.7219280948873623,,2.0,1.5,2.0,0.9709505944546686,,4.0,1.0,4.0,0.7219280948873623,
88,clumpy,2.0,3609.0,0.0005538631957906397,4.0,18.568999999999903,4.0,0.3333333333333333,0.696636819594449,2.0,160.091,3596.0,2.5,2.0,4.0,0.9910760598382222,,1.6666666666666667,1.0,2.0,0.9910760598382222,,2.0,1.5,4.0,0.9182958340544896,
89,clumpy,122.0,1047.0,0.10436270316509838,2.0,27.46799999999999,2.0,0.1111111111111111,0.8888888888888888,3.0,39.955,1163.0,3.0,1.5,4.0,0.9182958340544896,,2.0,2.5,3.0,0.9910760598382222,,4.0,1.0,6.0,0.5032583347756459,
90,clumpy,963.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5194704049844237,2.0,91.171,444.0,1.0,1.0,1.0,1.0,,1.0,1.5,2.0,0.8112781244591328,,4.0,,4.0,0.0,
92,diffuse,5.0,955.0,0.005208333333333333,2.0,35.22099999999995,3.0,0.5,0.5809027777777778,4.0,299.957,951.0,2.0,4.0,4.0,0.9182958340544896,,1.0,5.0,5.0,0.6500224216483541,,3.0,3.0,3.0,1.0,
94,diffuse,61.5,461.5,0.5,0.5,6.9080000000000155,1.0,0.25,0.75,2.5,193.7755,523.0,1.0,1.5,2.0,0.9182958340544896,,2.5,1.25,2.5,0.9591479170272448,,2.25,1.0,3.0,0.7841591278514218,
95,diffuse,1085.5,0.0,1.0,3.0,86.32799999999995,0.0,0.6000000000000001,0.6343410513329989,1.0,36.9185,1062.0,2.0,4.0,4.0,0.4854752972273343,,3.5,1.0,3.5,0.8464393446710154,,2.0,2.0,2.5,0.8464393446710154,
96,diffuse,302.5,3510.5,0.08253465570008679,4.5,77.139,4.5,0.6517857142857143,0.6791559634136839,1.0,13.003,1443.5,1.75,1.3333333333333335,3.5,0.9087772857457981,,4.5,1.0,5.0,0.764396289616924,,1.5,2.25,4.5,0.764396289616924,
97,diffuse,201.5,885.5,0.18309100700053849,4.0,47.224500000000035,5.0,0.3055555555555555,0.7669753086419753,3.5,136.303,1082.0,2.5,1.0,3.5,0.9182958340544896,,3.5,1.0,4.0,0.7841591278514218,,3.3333333333333335,1.0,3.5,0.8205492407432882,
100,diffuse,1139.5,0.0,1.0,7.5,110.56799999999996,0.0,0.75,0.5453464454100028,1.0,12.044,1122.0,1.5,1.5,2.0,0.9591479170272448,,1.0,1.25,1.5,0.8647869792568113,,2.0,2.0,2.5,0.5,
102,diffuse,216.0,1310.0,0.14154652686762778,0.0,0.0,2.0,0.36363636363636365,0.76814011676397,2.0,30.806,867.0,4.0,1.5,6.0,0.8453509366224364,,4.5,1.0,6.0,0.6840384356390418,,4.5,2.0,8.0,0.6840384356390417,
103,diffuse,714.0,0.0,1.0,2.0,20.23100000000005,0.0,0.3333333333333333,0.6666666666666666,3.0,94.185,714.0,2.0,1.0,2.0,0.9182958340544896,,1.0,1.0,1.0,0.9182958340544896,,2.0,1.0,2.0,0.9182958340544896,
104,diffuse,11.0,1904.0,0.00865460267505901,1.0,20.605000000000004,3.0,0.2111111111111111,0.8142903429752824,4.5,223.13400000000001,1726.5,1.5,2.1666666666666665,4.0,0.9446232142545791,,1.5,1.6666666666666667,2.5,0.9955380299191111,,2.5,1.0,4.0,0.7430663006979913,
105,clumpy,336.5,350.0,0.49160924889365754,3.5,45.063000000000045,3.0,0.47619047619047616,0.6233670586444091,4.5,169.468,659.5,1.5,1.75,2.5,0.9926140680171258,,3.75,1.25,4.0,0.7958363892911636,,3.25,1.75,3.5,0.9315602842833155,
106,clumpy,28.5,2345.0,0.012744400925481044,2.5,35.60549999999995,5.0,0.34285714285714286,0.7350457919457165,2.5,139.338,2309.0,2.0,1.5,2.0,0.97808936524446,,3.0,1.25,3.5,0.8535781154608069,,2.75,1.0,3.0,0.9170355815106498,
107,clumpy,0.0,904.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.8333333333333334,6.0,352.783,901.0,4.0,1.0,4.0,0.9182958340544896,,5.0,1.0,5.0,0.6500224216483541,,5.0,1.0,5.0,0.6500224216483541,
108,clumpy,700.0,0.0,1.0,3.0,45.58200000000001,0.0,0.25,0.75,1.0,30.261,700.0,1.0,1.5,2.0,0.8112781244591328,,,4.0,4.0,0.0,,3.0,1.0,3.0,0.8112781244591328,
109,diffuse,55.0,839.0,0.07074815741899597,3.5,29.668500000000016,3.0,0.875,0.2867067630834839,1.0,15.115,765.0,,3.5,3.5,0.0,,2.0,1.5,2.5,0.8647869792568113,,1.0,3.0,3.0,0.4056390622295664,
110,clumpy,461.0,0.0,1.0,0.0,0.0,0.0,0.4,0.7991323210412148,2.0,251.254,460.0,3.0,2.0,3.0,0.9709505944546686,,4.0,1.0,4.0,0.7219280948873623,,5.0,,5.0,0.0,
111,clumpy,456.0,0.0,1.0,4.5,95.36749999999998,0.0,0.25757575757575757,0.8454729208199816,1.0,18.073,424.0,6.0,1.0,7.0,0.8011671348467657,,2.0,3.0,4.0,0.9683681822194312,,6.75,1.0,8.0,0.6018507467150669,
113,diffuse,51.0,191.0,0.4443338074917022,0.5,18.36250000000001,1.0,0.29166666666666663,0.7704954954954955,4.5,375.83349999999996,240.5,3.0,2.5,3.5,0.4056390622295664,,1.75,1.75,2.5,0.9363649184897274,,2.75,1.0,3.5,0.730930138627043,
114,diffuse,618.0,0.0,1.0,2.0,53.051999999999964,0.0,0.5,0.5635113268608414,2.0,41.601,618.0,1.0,3.0,4.0,0.8112781244591328,,2.5,1.5,3.0,0.954434002924965,,3.0,2.0,3.0,0.8112781244591328,
118,clumpy,479.5,2869.5,0.5006091193873999,3.0,82.882,2.0,0.45,0.5584331957635125,3.5,191.447,2673.5,1.5,2.25,2.5,0.8911143594569007,,3.0,3.0,4.0,0.4056390622295664,,2.5,2.0,2.5,0.9854752972273343,
120,clumpy,196.0,0.0,1.0,2.0,23.18100000000004,0.0,0.125,0.875,7.0,317.582,193.0,5.0,3.0,5.0,0.954434002924965,,2.5,1.5,4.0,0.954434002924965,,3.5,1.0,6.0,0.5435644431995964,
121,clumpy,2.0,4819.0,0.0004495392222971454,0.0,0.0,4.5,0.38095238095238093,0.6927131879103443,1.0,47.6655,4818.0,4.0,1.75,4.0,0.9315602842833155,,5.0,1.0,5.0,0.7549843063184084,,2.0,1.25,2.5,0.9517619850443706,
122,diffuse,0.5,716.0,0.0007352941176470588,1.0,12.734999999999985,1.5,0.17063492063492064,0.8339869281045751,2.5,96.77850000000001,715.0,3.5,1.25,8.0,0.8176252788413028,,3.8333333333333335,2.125,6.0,0.7220389786159029,,9.75,1.0,10.0,0.5863319988584781,
