participant_id,condition,n_visits,n_unique_topics,topic_concentration,topic_entropy,transition_entropy,same_topic_repeat_rate,style
133,diffuse,9,5,0.3333333333333333,0.6614109820154459,0.06020599913279624,0.0,busybody
134,diffuse,10,5,0.4,0.6160396270529164,0.1945378125959109,0.2222222222222222,busybody
135,diffuse,10,4,0.4,0.5183520069376301,0.13016341030797265,0.2222222222222222,busybody
136,clumpy,24,5,0.7083333333333334,0.4239172659233725,0.16865602813626496,0.7391304347826086,hunter
137,diffuse,8,6,0.375,0.7241695164720702,0.055286918188735004,0.2857142857142857,hunter
138,clumpy,10,6,0.3,0.7364516253185087,0.12969187506394061,0.1111111111111111,busybody
139,clumpy,7,3,0.42857142857142855,0.4686003618978408,0.3010299956639812,0.5,busybody
140,diffuse,9,5,0.4444444444444444,0.6197647364793457,0.11288624837399296,0.0,hunter
141,clumpy,18,7,0.2222222222222222,0.8160252139674874,0.35562784789582397,0.17647058823529413,busybody
142,clumpy,12,5,0.5,0.5708253071758874,0.10981182278395468,0.18181818181818182,hunter
143,clumpy,19,8,0.2631578947368421,0.8490821523221996,0.2384380202969082,0.2777777777777778,busybody
144,diffuse,6,4,0.5,0.5395906230238123,0.09214486364789166,0.4,hunter
145,diffuse,14,7,0.2857142857142857,0.7858620562406122,0.17560083080398906,0.0,busybody
146,clumpy,24,7,0.5416666666666666,0.6061206753367337,0.11264465867235111,0.5652173913043478,hunter
147,diffuse,25,8,0.44,0.7379782787173482,0.24425253439581454,0.2916666666666667,busybody
149,diffuse,10,6,0.3,0.7364516253185088,0.12969187506394061,0.0,busybody
150,clumpy,8,5,0.375,0.6489120175560749,0.055286918188735004,0.2857142857142857,hunter
151,diffuse,8,4,0.375,0.5736545186400797,0.11928031367991561,0.14285714285714285,busybody
154,diffuse,16,5,0.625,0.4896597473959881,0.08558608905581001,0.6666666666666666,hunter
155,clumpy,16,5,0.375,0.5828777954101945,0.11549291732153123,0.6,busybody
156,diffuse,15,7,0.26666666666666666,0.7747179315037064,0.14700136858623258,0.2857142857142857,busybody
