participant_id,condition,explore_dur_mean_mean,explore_dur_mean_sd,explore_dur_median_mean,explore_dur_median_sd,exploit_dur_mean_mean,exploit_dur_mean_sd,exploit_dur_median_mean,exploit_dur_median_sd,pct_time_exploit_mean,pct_time_exploit_sd,n_transitions_mean,n_transitions_sd,total_collected_mean,total_collected_sd,time_to_first_resource_mean,time_to_first_resource_sd,inter_resource_mean_mean,inter_resource_mean_sd,collection_rate_mean,collection_rate_sd,path_length_mean,path_length_sd,coverage_entropy_mean,coverage_entropy_sd,heading_variability_mean,heading_variability_sd,patch_leaving_distance_mean,patch_leaving_distance_sd,levy_alpha_mean,levy_alpha_sd
105,Clumpy,12.794,5.00143,12.7118,5.14586,21.4863,3.95042,21.4863,3.95042,63.8454,17.3987,2.6,0.894427,537.8,98.7558,7.0854,6.75128,0.0868437,0.0164341,9.01119,1.65822,3745.88,129.193,5.70543,0.453849,19.5787,1.65204,19.9289,16.9204,1.61838,0.00942447
106,Clumpy,47.4086,17.5812,47.4086,17.5812,19.7415,7.62473,19.7415,7.62473,13.1999,19.1663,0.6,0.894427,310.4,103.65,20.2558,19.1977,0.116406,0.0392148,5.17282,1.7273,5460.56,1698.98,6.63392,0.400342,10.5006,1.08752,33.1361,,1.62407,0.0169708
107,Clumpy,14.7852,10.5335,14.7852,10.5335,23.2244,19.8791,23.2244,19.8791,50.2453,35.5661,2.6,0.547723,278,131.356,1.7728,2.25907,0.143659,0.0756596,4.65184,2.19135,3854.28,215.07,5.09379,0.602511,15.8889,1.43537,42.9838,23.8394,1.61803,0.00817971
108,Clumpy,17.0334,19.8733,17.0334,19.8733,42.8098,19.8901,42.8098,19.8901,71.5292,33.2361,1,0,325.2,61.7794,15.1062,15.7858,0.124179,0.0293546,5.41986,1.02964,4065.79,670.651,5.20506,0.960336,21.1138,1.09943,,,1.61607,0.018188
109,Diffuse,59.8338,0.0489714,59.8338,0.0489714,,,,,0,0,0,0,124,9.46044,0.0814,0.10681,0.484558,0.039614,2.06774,0.156676,3448.37,3.51715,6.77584,0.0810882,9.54228,1.02688,,,1.33852,0.00757157
110,Clumpy,49.0832,18.6874,49.0832,18.6874,17.7353,22.5235,17.7353,22.5235,17.8303,31.2459,0.6,0.547723,184.6,141.802,27.7918,19.5676,0.0814901,0.0257446,3.08504,2.36958,5020.81,904.457,6.65391,0.788261,14.1269,3.77747,,,1.63619,0.0120272
111,Clumpy,20.8878,12.5564,20.4032,13.1364,15.3117,5.12423,14.3682,6.5031,41.1442,9.27461,2.8,1.48324,540.4,111.972,9.847,9.56066,0.0821828,0.0257472,9.00575,1.86627,3911.06,70.8885,6.3051,0.275184,17.592,2.77644,32.7336,15.0455,1.62845,0.00662842
114,Diffuse,42.7407,23.358,43.3966,22.5486,4.1955,0.0183848,4.1955,0.0183848,5.60795,7.6791,1.6,2.19089,129,16.7332,0.427,0.41749,0.468773,0.0725901,2.15142,0.279246,3796.69,787.902,6.54497,0.341886,13.0268,2.05267,8.96427,0.501165,1.34904,0.0119869
118,Clumpy,17.0332,8.5741,17.0332,8.5741,27.6729,12.0309,27.6729,12.0309,58.1099,15.074,2,0.707107,471.8,165.948,7.2972,6.59509,0.0950862,0.0271671,7.86869,2.76515,4271.23,1016.41,5.72991,0.476695,19.7734,1.3761,41.6735,41.2362,1.61729,0.0200843
120,Clumpy,11.3451,4.72848,10.9955,4.59474,14.2735,5.53408,15.3054,4.6068,55.2212,17.5822,3.8,0.83666,696.4,133.358,4.5986,5.69757,0.0663813,0.0069453,11.714,2.28408,3773.41,170.38,6.15213,0.371183,16.8807,1.34726,28.4737,22.5679,1.62714,0.0114526
121,Clumpy,16.913,8.0102,16.913,8.0102,16.5945,9.52591,16.5945,9.52591,42.7982,30.1296,2.2,0.447214,431,196.331,17.3978,10.9602,0.0795948,0.0328509,7.71098,3.61428,3899.35,794.454,6.05104,0.752245,17.3177,3.15652,21.073,35.0487,1.63115,0.00558397
122,Diffuse,29.153,28.3367,28.4668,28.7535,12.7664,5.31299,16.1283,8.39167,36.1816,40.4637,2.6,2.40832,99.6,12.5419,0.0218,0.0174843,0.612808,0.0787999,1.6599,0.209007,3451.49,8.4026,5.52311,0.388261,18.8316,4.66717,10.0797,2.02044,1.34263,0.0114826
123,Diffuse,27.9898,19.6096,25.148,22.3556,4.35525,1.33629,3.90612,1.2337,12.9046,13.323,3.4,3.1305,130.8,13.0077,0.1318,0.115867,0.463327,0.0426621,2.18164,0.217251,3446.33,2.42933,6.4249,0.389084,13.7128,3.5911,9.25006,3.67082,1.34609,0.00825085
126,Diffuse,21.571,16.7566,21.571,16.7566,25.3524,18.4143,24.2049,19.7904,54.9487,25.632,2,1.41421,122.2,18.1852,0.028,0.0141421,0.500207,0.0825158,2.03661,0.303092,5893.31,1785.7,6.22711,0.325318,22.4753,5.3513,8.60555,1.97205,1.34675,0.013347
128,Diffuse,20.1777,8.30659,19.002,9.96268,8.10907,3.1657,7.4238,3.8095,21.7556,13.2193,3.2,1.78885,125.2,10.6395,0.1104,0.206786,0.483013,0.0426622,2.08635,0.177453,3416.78,4.49527,6.53071,0.0877906,19.1779,1.69108,8.53776,5.66005,1.34578,0.00773115
