participant_id,count_time,count_topic,count_typing,z_time,z_topic,z_typing,z_time_typing_mean,lda_residual,abs_residual,n_pages_avg
89,3.0,4.0,2.0,0.4757795853884386,0.07249827620405888,0.05842582743847526,0.26710270641345696,-0.19460443020939808,0.19460443020939808,9.0
2,3.0,4.0,2.0,0.4757795853884386,0.07249827620405888,0.05842582743847526,0.26710270641345696,-0.19460443020939808,0.19460443020939808,7.0
132,3.0,4.0,2.0,0.4757795853884386,0.07249827620405888,0.05842582743847526,0.26710270641345696,-0.19460443020939808,0.19460443020939808,5.0
111,3.0,4.0,2.0,0.4757795853884386,0.07249827620405888,0.05842582743847526,0.26710270641345696,-0.19460443020939808,0.19460443020939808,10.0
129,3.0,4.0,2.0,0.4757795853884386,0.07249827620405888,0.05842582743847526,0.26710270641345696,-0.19460443020939808,0.19460443020939808,8.5
74,3.0,5.0,3.0,0.4757795853884386,0.5301436447421801,0.9662732999440131,0.7210264426662258,-0.19088279792404572,0.19088279792404572,7.5
133,1.5,2.5,1.0,-0.715635409427238,-0.613969776603123,-0.8494216450670626,-0.7825285272471503,0.16855875064402726,0.16855875064402726,4.5
57,1.5,2.0,0.5,-0.715635409427238,-0.8427924608721836,-1.3033453813198315,-1.0094903953735348,0.16669793450135117,0.16669793450135117,4.5
16,3.5,5.5,3.0,0.8729179169936642,0.7589663290112407,0.9662732999440131,0.9195956084688386,-0.16062927945759786,0.16062927945759786,8.0
113,1.0,2.5,1.5,-1.1127737410324636,-0.613969776603123,-0.39549790881429364,-0.7541358249233786,0.1401660483202556,0.1401660483202556,5.5
123,1.0,2.0,1.0,-1.1127737410324636,-0.8427924608721836,-0.8494216450670626,-0.9810976930497631,0.1383052321775795,0.1383052321775795,7.0
124,1.0,2.0,1.0,-1.1127737410324636,-0.8427924608721836,-0.8494216450670626,-0.9810976930497631,0.1383052321775795,0.1383052321775795,4.0
122,4.0,5.5,2.0,1.2700562485988898,0.7589663290112407,0.05842582743847526,0.6642410380186825,0.09472529099255822,0.09472529099255822,12.5
10,4.0,4.5,1.0,1.2700562485988898,0.3013209604731195,-0.8494216450670626,0.21031730176591357,0.09100365870720595,0.09100365870720595,8.0
11,1.0,1.5,1.0,-1.1127737410324636,-1.0716151451412443,-0.8494216450670626,-0.9810976930497631,-0.09051745209148121,0.09051745209148121,4.0
138,1.0,2.0,1.5,-1.1127737410324636,-0.8427924608721836,-0.39549790881429364,-0.7541358249233786,-0.08865663594880502,0.08865663594880502,5.0
131,1.0,2.0,1.5,-1.1127737410324636,-0.8427924608721836,-0.39549790881429364,-0.7541358249233786,-0.08865663594880502,0.08865663594880502,4.0
73,0.0,1.0,1.0,-1.9070504042429148,-1.300437829410305,-0.8494216450670626,-1.3782360246549887,0.07779819524468379,0.07779819524468379,3.0
13,1.5,2.5,1.5,-0.715635409427238,-0.613969776603123,-0.39549790881429364,-0.5555666591207659,-0.05840311748235716,0.05840311748235716,7.0
105,3.0,4.5,2.0,0.4757795853884386,0.3013209604731195,0.05842582743847526,0.26710270641345696,0.034218254059662556,0.034218254059662556,6.5
14,2.0,3.5,2.0,-0.31849707782201253,-0.15632440806500175,0.05842582743847526,-0.13003562519176864,-0.026288782873233107,0.026288782873233107,7.5
39,2.5,5.0,3.0,0.07864125378321306,0.5301436447421801,0.9662732999440131,0.5224572768636131,0.007686367878567024,0.007686367878567024,8.5
41,2.5,3.5,1.5,0.07864125378321306,-0.15632440806500175,-0.39549790881429364,-0.15842832751554028,0.002103919450538533,0.002103919450538533,5.0
