spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,r_partial,p_partial,p_fdr,fdr_significant
n_transitions_mean,seq_typing_entropy,132,0.0076651565898868445,0.9304890057880177,-0.0240961164150428,0.7838924986149526,0.08775514906587997,0.3189093484418706,0.9794621113558081,False
n_transitions_sd,count_time,132,0.04747126000094699,0.5888379964905159,0.10663757401020849,0.2236068569754219,0.049936850264921846,0.5711021147170614,0.8906793224226291,False
n_transitions_sd,count_topic,132,-0.029613288727448547,0.7360650961251148,-0.0057262423590903125,0.9480431784690801,-0.019356913906879308,0.826301707088537,0.9556464431004119,False
n_transitions_sd,count_typing,132,0.11156742396512875,0.20280496040888138,0.16311505348952773,0.06165608518146923,0.11871127120413,0.176864929849875,0.730097857471973,False
n_transitions_sd,PC1,132,0.004292190840640643,0.9610430519447216,0.03596740375188414,0.6822195936335946,0.013599959770770432,0.8774726015776886,0.9885014248574279,False
n_transitions_sd,seq_typing_mean_run_explore,130,-0.08360911476956463,0.34428084921223545,-0.12806215305727134,0.14649695261310436,-0.07157094214205655,0.42023603599345627,0.7605039333765344,False
n_transitions_sd,seq_typing_entropy,132,0.08009415278476442,0.3612808374548254,0.07779852241740014,0.3752510110350022,0.051137861922215914,0.5618676012934283,0.7605039333765344,False
total_collected_mean,count_time,132,0.027565974040237466,0.7537061517896232,0.0513631927453935,0.5586205467773675,0.04258375306068511,0.6291374500088305,0.9556464431004119,False
total_collected_mean,count_topic,132,0.07430214525216855,0.3971520540966346,0.07381340011106026,0.40027307691189656,0.05626715807759699,0.5232518531932668,0.7605039333765344,False
total_collected_mean,count_typing,132,0.07617089925089776,0.38535303967479195,0.08472444104334753,0.3340994981132732,0.11169488489149927,0.2040374584882696,0.7605039333765344,False
total_collected_mean,PC1,132,0.0728721001942153,0.40632491711222957,0.0820125941366531,0.34985682137132496,0.06775449109801508,0.4419304567033644,0.7698787903179086,False
total_collected_mean,seq_typing_mean_run_explore,130,0.12527609914906124,0.1555572566369435,0.10976274549249344,0.21380861573307378,0.12904063982285777,0.14499073589854405,0.730097857471973,False
total_collected_mean,seq_typing_entropy,132,-0.07618975478726969,0.38523507831126985,-0.09810295550910803,0.2630980055378319,0.11412651696292177,0.1942997692331201,0.7605039333765344,False
total_collected_sd,count_time,132,0.03423472545553383,0.6967581705642567,0.05628701464323662,0.5214926186127157,0.05190146140448261,0.5560336625171489,0.9556464431004119,False
total_collected_sd,count_topic,132,0.10466541325496805,0.23233708272108236,0.1366928663773063,0.11807853475764728,0.11053849603338103,0.20878949504451239,0.7423353487559324,False
total_collected_sd,count_typing,132,0.060192898662588215,0.4929602208025233,0.11050702691482722,0.20715733690970692,0.07455763123036732,0.39735681705606773,0.8532003821582135,False
total_collected_sd,PC1,132,0.0948921383857347,0.27911808275319094,0.13052972975719887,0.13575186653249913,0.10528764715039701,0.23136408318433066,0.7423353487559324,False
total_collected_sd,seq_typing_mean_run_explore,130,0.09924795782928339,0.26124732738209,0.12921670041331978,0.1428614985001875,0.07498391118401344,0.3983599793971564,0.7423353487559324,False
total_collected_sd,seq_typing_entropy,132,-0.1253709751711465,0.1520405752738004,-0.129432020207189,0.13910121582346194,0.005904707418687204,0.9466331905406189,0.730097857471973,False
time_to_first_resource_mean,count_time,132,0.015332788262906929,0.8614763974342399,0.047033673756154026,0.5922815775241124,0.015388829900504263,0.8615075406300863,0.9631413139016346,False
time_to_first_resource_mean,count_topic,132,0.14410743323220285,0.09924240580365504,0.10797051534925668,0.21783921144714782,0.163475953240153,0.06208239802605697,0.730097857471973,False
time_to_first_resource_mean,count_typing,132,0.03147817409336809,0.7201145435270513,0.0041095903490208354,0.9626991571271306,0.020918419808568844,0.8125376696440856,0.9556464431004119,False
time_to_first_resource_mean,PC1,132,0.11620533016538066,0.18454199941716268,0.09553030884303647,0.27588289721814213,0.1292175834467301,0.14130123951230744,0.730097857471973,False
time_to_first_resource_mean,seq_typing_mean_run_explore,130,0.09067934250363276,0.3048757751778343,0.10313666158423672,0.24292847139903534,0.05719099945887977,0.5197248270041708,0.7474461495107344,False
time_to_first_resource_mean,seq_typing_entropy,132,-0.17427447642792607,0.0456583173483685,-0.09402916638940008,0.2835333006022887,-0.08908791433601768,0.3115863827031746,0.730097857471973,False
time_to_first_resource_sd,count_time,132,0.005362806222587387,0.9513366194949198,0.009102007665994593,0.9175013739938334,-0.0006980905287575952,0.9936860587709155,0.9885014248574279,False
time_to_first_resource_sd,count_topic,132,0.12430279850620993,0.15558993316877998,0.08824660309036313,0.3143204839311878,0.13512879770218628,0.12383753560776967,0.730097857471973,False
time_to_first_resource_sd,count_typing,132,0.05455122807912304,0.5344367083131396,0.022092831850621372,0.8014710088430815,0.059042602343505265,0.5029333318090017,0.8693980755381744,False
time_to_first_resource_sd,PC1,132,0.10239630430034641,0.242674337690274,0.07183222810874262,0.41307286947679916,0.10978464606226018,0.21192971778826108,0.7423353487559324,False
time_to_first_resource_sd,seq_typing_mean_run_explore,130,0.07493219998216713,0.39682847821359285,0.06549054142681744,0.45912376529089594,0.03070121637419968,0.7298040471430978,0.7605039333765344,False
time_to_first_resource_sd,seq_typing_entropy,132,-0.14047984424121568,0.10813837866417028,-0.04770349404415147,0.5870141514948711,-0.03156789369984988,0.7203901328095899,0.730097857471973,False
inter_resource_mean_mean,count_time,132,0.0010873466828635464,0.9901273522019287,-0.022486849095104493,0.7980054081902159,0.04013106499897359,0.6490356800237036,0.9959005606481017,False
inter_resource_mean_mean,count_topic,132,-0.060532847758686274,0.49051662188547557,-0.08342820298687353,0.34157406818880065,-0.04053134112270382,0.6457708687003416,0.8532003821582135,False
inter_resource_mean_mean,count_typing,132,-0.021112023136517277,0.8101144140949419,-0.05240748587854482,0.5506411469156498,0.009586617054378865,0.913460485202255,0.9556464431004119,False
inter_resource_mean_mean,PC1,132,-0.04825967445687877,0.5826567480365215,-0.08168659123407754,0.3517819683388563,-0.020104423135570648,0.8197058606371928,0.8903625075144574,False
inter_resource_mean_mean,seq_typing_mean_run_explore,130,-0.07757537541278978,0.3803368964545608,-0.12208264378285645,0.16645213702978234,-0.04187791464379704,0.6374844372028519,0.7605039333765344,False
inter_resource_mean_mean,seq_typing_entropy,132,0.1553791343798383,0.07523776454541191,0.10887065271841279,0.21400459702758376,0.0281895774324658,0.7492596535611322,0.730097857471973,False
inter_resource_mean_sd,count_time,132,0.10726960300075133,0.2208587458350678,0.026590902811631806,0.7621535523131423,0.10968359296595177,0.2123532128393013,0.7423353487559324,False
inter_resource_mean_sd,count_topic,132,0.06903735074439916,0.4315314155105678,0.055117157946435236,0.5301989167739688,0.07825216031220344,0.3743168602905347,0.7846025736555778,False
inter_resource_mean_sd,count_typing,132,0.09591771293449608,0.2739313448435256,0.02675274848466,0.7607494534340011,0.10074778003392706,0.25221937038728504,0.7423353487559324,False
inter_resource_mean_sd,PC1,132,0.08953091417331638,0.30730170368239507,0.04809774535757193,0.5839238435692375,0.09769518489976003,0.26695004650831655,0.7474461495107344,False
inter_resource_mean_sd,seq_typing_mean_run_explore,130,-0.02330403475484303,0.7924146407583798,-0.0026377906716575587,0.9762385085098714,-0.013253512114391354,0.8814965636164658,0.9556464431004119,False
inter_resource_mean_sd,seq_typing_entropy,132,0.05192205837967281,0.5543433749482555,-0.0047914883234893655,0.9565155150473106,0.02917207690809574,0.7408257402356382,0.8693980755381744,False
collection_rate_mean,count_time,132,0.022952154759735454,0.7939178522968063,0.04656694389950787,0.5959645360291228,0.033575757292427025,0.7034137147674975,0.9556464431004119,False
collection_rate_mean,count_topic,132,0.06812279769795547,0.4376725814408235,0.06832653617691431,0.43630020417262194,0.04397800242984706,0.6179424948258332,0.7878106465934823,False
collection_rate_mean,count_typing,132,0.07174591708685174,0.41363589350402347,0.08071442397478513,0.35756218869257334,0.10354555376792646,0.23921899613998843,0.7755673003200441,False
collection_rate_mean,PC1,132,0.06656647015902269,0.4482366322719567,0.07631717653671474,0.3844384921509428,0.055345572199447926,0.5300895092063262,0.7910058216563942,False
collection_rate_mean,seq_typing_mean_run_explore,130,0.11952913438072715,0.175563910292331,0.1044827790524608,0.23680029611161474,0.11808219723547163,0.18260735788396731,0.730097857471973,False
collection_rate_mean,seq_typing_entropy,132,-0.0769772239114913,0.3803281222987211,-0.09508337994445074,0.278145924927576,0.11414498078818346,0.19422714181733247,0.7605039333765344,False
collection_rate_sd,count_time,132,0.024264606197800652,0.7824188499491366,0.04888582626848743,0.5777690837442679,0.032971676656619237,0.7085062983418005,0.9556464431004119,False
collection_rate_sd,count_topic,132,0.09218822244972631,0.2931076108974787,0.1277988368567589,0.14420030820125507,0.08651316749090751,0.32583290923988484,0.7474461495107344,False
collection_rate_sd,count_typing,132,0.05224140153238066,0.551906474019818,0.105735285400807,0.22757182948057328,0.05906295590760553,0.5027858644635845,0.8693980755381744,False
