participant_id,condition,trial,map_id,explore_dur_mean,explore_dur_median,exploit_dur_mean,exploit_dur_median,pct_time_exploit,n_transitions,total_collected,time_to_first_resource,inter_resource_mean,collection_rate,path_length,coverage_entropy,heading_variability,patch_leaving_distance,levy_alpha
203,Diffuse,1,Diffuse_3,59.858,59.858,,,0,0,113,0.117,0.534214,1.88308,3444.42,6.74111,12.5777,,1.32726
203,Diffuse,2,Diffuse_2,59.867,59.867,,,0,0,150,0.002,0.402235,2.49988,3452.78,6.86227,7.98924,,1.34498
203,Diffuse,3,Diffuse_1,59.892,59.892,,,0,0,120,0.453,0.498882,1.99987,3451.84,6.61627,10.372,,1.33876
203,Diffuse,4,Diffuse_4,28.05,28.05,3.7,3.7,6.18729,2,132,0.008,0.457763,2.2,3444.77,6.69214,13.8756,8.06226,1.35488
203,Diffuse,5,Diffuse_5,59.867,59.867,,,0,0,136,0.037,0.439756,2.26652,3450.66,6.37523,10.1364,,1.35139
205,Diffuse,1,Diffuse_1,59.817,59.817,,,0,0,140,0.454,0.418813,2.33329,3443.32,6.78348,13.8616,,1.351
205,Diffuse,2,Diffuse_1,28.017,28.017,3.817,3.817,6.3775,2,125,0.469,0.479702,2.0833,4038.15,6.76891,15.3507,15.2971,1.34096
205,Diffuse,3,Diffuse_4,56,56,3.833,3.833,6.40616,1,136,0.013,0.4332,2.26667,3447.92,6.89781,10.86,9.21954,1.35046
205,Diffuse,4,Diffuse_3,59.85,59.85,,,0,0,143,0.12,0.419599,2.38329,6991.04,6.92556,7.10161,,1.33901
205,Diffuse,5,Diffuse_3,59.817,59.817,,,0,0,140,0.124,0.428295,2.33329,7589.88,6.81574,5.81979,,1.33451
206,Diffuse,1,Diffuse_3,59.897,59.897,,,0,0,129,0.123,0.465055,2.14989,3447.62,6.66832,10.5462,,1.35432
206,Diffuse,2,Diffuse_4,59.796,59.796,,,0,0,136,0.017,0.443304,2.26621,3442.12,6.73568,10.8688,,1.34977
206,Diffuse,3,Diffuse_1,29.648,29.648,0.502,0.502,0.839493,2,133,0.45,0.450477,2.21626,3438.57,6.47953,12.6091,12.083,1.3468
206,Diffuse,4,Diffuse_3,59.847,59.847,,,0,0,148,0.123,0.405755,2.46658,3438.18,6.71413,10.6518,,1.37206
206,Diffuse,5,Diffuse_1,59.813,59.813,,,0,0,128,0.456,0.462937,2.1333,3441.59,6.68636,11.0291,,1.33688
