condition,spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,p_fdr,fdr_significant
Clumpy,heading_variability_mean,count_time,72,0.008028002490766836,0.9466384482631992,-0.004506959742006151,0.970027581304749,0.9809282801167984,False
Clumpy,heading_variability_mean,count_topic,72,-0.12687457968413138,0.2882248095911699,-0.12564416824179042,0.29296396347064285,0.9068835643557314,False
Clumpy,heading_variability_mean,count_typing,72,-0.19300170711214157,0.10430668341797131,-0.17989304922608268,0.1305101096898771,0.9068835643557314,False
Clumpy,heading_variability_mean,PC1,72,-0.1233391567105977,0.30197912113927294,-0.10181537554411813,0.3947545587994201,0.9068835643557314,False
Clumpy,heading_variability_mean,seq_typing_mean_run_explore,70,0.20532227845929837,0.08816882398405734,0.16744571009394882,0.16589035409000275,0.9068835643557314,False
Clumpy,heading_variability_mean,seq_typing_entropy,72,-0.07887480742162414,0.5101598335552691,-0.08841245733638298,0.4601967472566985,0.9068835643557314,False
Clumpy,heading_variability_sd,count_time,72,0.21365439398616073,0.0715360907709576,0.14221241315423727,0.23339416917458367,0.9068835643557314,False
Clumpy,heading_variability_sd,count_topic,72,0.014797204613053156,0.9018159252646629,0.07515738226149477,0.5303586011744179,0.9809282801167984,False
Clumpy,heading_variability_sd,count_typing,72,0.12914401963203642,0.27961702175262465,0.10424764568122366,0.38349914833998194,0.9068835643557314,False
Clumpy,heading_variability_sd,PC1,72,0.07714954203524167,0.519484917764149,0.08747246414403073,0.46499872182143276,0.9068835643557314,False
Clumpy,heading_variability_sd,seq_typing_mean_run_explore,70,0.020828945202365143,0.8641072506848024,-0.002945333399202534,0.9806940611771635,0.9784752143430504,False
Clumpy,heading_variability_sd,seq_typing_entropy,72,-0.1757677677841068,0.13971287851746633,-0.09560190038338374,0.42438098396414753,0.9068835643557314,False
Clumpy,patch_leaving_distance_mean,count_time,69,0.22155065123305417,0.06732092831942768,0.09600327037946513,0.4326240349406245,0.9068835643557314,False
Clumpy,patch_leaving_distance_mean,count_topic,69,0.06589364164188294,0.5906188983951354,0.04691741729713554,0.7018558756423122,0.9404818982673262,False
Clumpy,patch_leaving_distance_mean,count_typing,69,-0.05060594624897254,0.679643429546541,-0.1810052703125086,0.13664564021073755,0.9585532739369533,False
Clumpy,patch_leaving_distance_mean,PC1,69,0.0915079205235711,0.45457697934698665,0.04892664677397513,0.6897239202269527,0.9068835643557314,False
Clumpy,patch_leaving_distance_mean,seq_typing_mean_run_explore,67,0.19303624340941153,0.11756072390033677,0.3027183386520687,0.012776169180365182,0.9068835643557314,False
Clumpy,patch_leaving_distance_mean,seq_typing_entropy,69,-0.2471961069271055,0.04058445175698458,-0.19625579824024747,0.10605086852247415,0.9068835643557314,False
Clumpy,patch_leaving_distance_sd,count_time,66,0.18100225413621657,0.14583074599296625,-0.08037876021606169,0.5211570855785892,0.9068835643557314,False
Clumpy,patch_leaving_distance_sd,count_topic,66,-0.008171327018532924,0.9480809573513426,-0.07431576796327183,0.5531613432034922,0.9809282801167984,False
Clumpy,patch_leaving_distance_sd,count_typing,66,0.08339054505789831,0.5056126153303794,-0.1423715604734361,0.25413925130943166,0.9068835643557314,False
Clumpy,patch_leaving_distance_sd,PC1,66,0.04525062278304459,0.7182648471569923,-0.07670066108313386,0.5404609020614162,0.9643538331354592,False
Clumpy,patch_leaving_distance_sd,seq_typing_mean_run_explore,65,-0.041444354016907374,0.7430684495851627,0.12496600084664432,0.3212687129246103,0.9643538331354592,False
Clumpy,patch_leaving_distance_sd,seq_typing_entropy,66,-0.021026331149881564,0.8669188732670258,-0.01797832654965011,0.8860710231670249,0.9784752143430504,False
Clumpy,levy_alpha_mean,count_time,72,-0.09630299297036339,0.4209758458196369,-0.08106107867541384,0.4984672967063166,0.9068835643557314,False
Clumpy,levy_alpha_mean,count_topic,72,-0.08388080132993339,0.4835954259677933,-0.06767123126688718,0.5722043558749024,0.9068835643557314,False
Clumpy,levy_alpha_mean,count_typing,72,-0.12622747134587317,0.2907109230157311,-0.05228787157735232,0.6626837136351179,0.9068835643557314,False
