participant_id,n_pages,n_unique_pages,n_searches,revisit_rate,search_vs_link_ratio,mean_dwell,var_dwell,mean_step_distance,var_step_distance,forward_flow,n_unique,n_edges,clustering,char_path_length,global_efficiency,lcc_fraction,path_breadth,bh_score
325282887,5,5,5,0.0,1.0,137542.6,55338322875.84001,0.01871441891986475,8.778314524862755e-05,0.018027454455799796,5,1,0.0,1.0,0.1,0.4,18,-2.319116506907407
325345635,5,5,4,0.0,0.8,172931.6,7023277326.639999,0.020787530615188305,4.828361765649243e-05,0.023924774578632735,4,2,0.0,1.0,0.3333333333333333,0.5,17,-1.3756281088771727
325857589,5,4,3,0.2,0.6,169896.2,28833329549.359997,0.007615308766322955,3.560569458018925e-05,0.008257263466262073,3,3,1.0,1.0,1.0,1.0,12,4.296959250904651
325878759,3,3,4,0.0,1.3333333333333333,318685.0,29202906318.0,0.08342300840341732,0.0,0.08342300840341732,2,0,0.0,0.0,0.0,0.5,8,-1.3406828719802135
325985497,6,5,4,0.16666666666666666,0.6666666666666666,108744.16666666667,9965422423.805555,0.01805487592615449,0.00011808663729771529,0.014920545430414617,5,7,0.4,1.3,0.85,1.0,18,2.2601202010856585
326217403,5,4,5,0.2,1.0,193859.8,46536030470.159996,0.0038855992459977395,1.5097881500498202e-05,0.005828398868996498,2,1,0.0,1.0,1.0,1.0,17,0.4346039052222589
326314044,7,6,3,0.14285714285714285,0.42857142857142855,118358.0,15277565058.571428,0.03704628017755276,0.00035960410771237994,0.040479141670220355,6,0,0.0,0.0,0.0,0.16666666666666666,30,-1.3406828719802135
326326808,2,2,2,0.0,1.0,440967.5,54852684642.25,0.011212903263709495,0.0,0.011212903263709495,2,1,0.0,1.0,1.0,1.0,11,0.4346039052222589
326391885,6,6,9,0.0,1.5,134123.33333333334,12170448684.888887,0.0810724239767108,0.0008932095015545649,0.08616398154209004,5,3,0.0,1.3333333333333333,0.35,0.6,31,-1.5997268871168198
326449139,6,4,9,0.3333333333333333,1.5,153468.83333333334,35197469780.13888,0.022025003034165824,0.00017699612927158647,0.0179008155239926,3,0,0.0,0.0,0.0,0.3333333333333333,11,-1.3406828719802135
327708400,5,5,2,0.0,0.4,191982.2,20731564083.760002,0.0351209062540519,0.0006044671636268817,0.05640813449293258,5,6,0.6,1.4,0.8,1.0,15,2.406825220259182
327888665,14,11,5,0.21428571428571427,0.35714285714285715,60511.28571428572,6324601890.489797,0.03285852267040725,0.00043685589995644735,0.06011176306391183,10,12,0.3666666666666667,1.5714285714285714,0.3703703703703703,0.7,30,1.4160328951472319
329671473,19,8,11,0.5789473684210527,0.5789473684210527,56787.36842105263,11243025294.232687,0.038818562781364155,0.004311433406974731,0.046593972264471414,8,4,0.0,2.0,0.2291666666666667,0.625,115,-2.7491874350038312
337637698,9,9,1,0.0,0.1111111111111111,98259.44444444444,11640556571.358025,0.0408853818099095,0.00036986195776776384,0.06214231360692464,9,14,0.6534391534391535,1.6111111111111112,0.6944444444444444,1.0,48,3.782596496170249
337927669,14,8,2,0.42857142857142855,0.14285714285714285,75210.5,41822304124.53571,0.023515129325156613,0.000822109401650131,0.04831064603983884,8,9,0.5708333333333333,1.4,0.42857142857142855,0.75,75,1.8597908491190045
340872084,5,5,8,0.0,1.6,127886.8,25426890047.36,0.021416252297701888,2.543225221324663e-05,0.034142258229212,5,4,0.4666666666666667,1.3333333333333333,0.5,0.8,40,0.6769630684748673
341241297,12,9,7,0.25,0.5833333333333334,59817.75,6143493889.1875,0.23408826014537806,0.013283184941280241,0.16637729599515189,8,1,0.0,1.0,0.03571428571428571,0.25,33,-2.515810822059526
342663358,15,14,9,0.06666666666666667,0.6,55322.26666666667,8177129128.72889,0.04179226311673094,0.0007462052343969079,0.03973585889061297,14,17,0.5595238095238095,3.051282051282051,0.4011250654107797,0.9285714285714286,50,1.0738309462937727
931215248,12,6,2,0.5,0.16666666666666666,62511.916666666664,21908719424.243053,0.034908417501050226,0.0013358483095774292,0.03386954114162039,6,6,0.27777777777777773,1.9333333333333333,0.6500000000000001,1.0,27,0.0438271568126567
