measure,feature,n,rho,p,p_FDR,fdr_significant
Verbal Fluency - Forward Flow,forward_flow,100,0.037623762376237616,0.7101616373887586,0.8709529515145153,False
AUT Broom - Originality,global_efficiency,107,-0.03573624520530144,0.7147878169210444,0.871147651872523,False
AQT Complexity Score,var_step_distance,100,-0.035751178688333024,0.7239910568957709,0.8768835782277971,False
GF - Score,mean_dwell,105,-0.031941165132217945,0.7463437399929935,0.8983767240656404,False
AQT Complexity Score,n_unique_pages,107,-0.030131870370244753,0.7580096333663072,0.9068213405302448,False
AQT Complexity Score,bh_score,107,-0.026953663152013987,0.7828659460765205,0.9270099096255656,False
Curiosity - Score,revisit_rate,105,-0.026992311362931665,0.7846012576109433,0.9270099096255656,False
Curiosity - Score,var_dwell,105,-0.026408957132218625,0.7891468974248405,0.9270099096255656,False
AQT Pillow - Number of Answers,clustering,107,0.023359024414232432,0.8112434808035854,0.9419586963343212,False
AQT Pencil - Number of Answers,bh_score,107,0.023322436898992032,0.811533646072646,0.9419586963343212,False
AQT Pillow - Number of Answers,mean_step_distance,100,0.02222455667867704,0.826277337506587,0.9427517707220214,False
AUT Belt - Number of Answers,revisit_rate,105,-0.020779824757845993,0.8333526229357603,0.9427517707220214,False
GF - Score,mean_step_distance,100,0.0208687973723688,0.8367232048072738,0.9427517707220214,False
GF - Score,search_vs_link_ratio,105,0.020134109466538683,0.8384596102945119,0.9427517707220214,False
AQT Pencil - Number of Answers,var_dwell,105,-0.019652621110906904,0.8422721009775109,0.9427517707220214,False
AUT Belt - Originality,clustering,107,0.01943248107063063,0.8425217404775663,0.9427517707220214,False
AUT Broom - Originality,char_path_length,107,0.01899044514378669,0.8460592814171987,0.9427517707220214,False
AUT Broom - Originality,n_searches,107,-0.017087130885897608,0.8613252925191058,0.9528516472886727,False
AQT Pillow - Originality,forward_flow,99,0.017016407475764186,0.8672339946166007,0.9528516472886727,False
AUT Broom - Number of Answers,revisit_rate,105,-0.016065684396719952,0.870782890328434,0.9528516472886727,False
GF - Score,forward_flow,100,0.015972891830464093,0.874668948023961,0.9528516472886727,False
Verbal Fluency - Forward Flow,mean_step_distance,100,-0.01452145214521452,0.8859771574395631,0.9598085872261933,False
Verbal Fluency - Forward Flow,search_vs_link_ratio,105,-0.013216063110995846,0.8935535430772582,0.9626681817683168,False
AUT Belt - Originality,search_vs_link_ratio,105,0.012422056149299499,0.8999145143039544,0.9641941224685227,False
Verbal Fluency - Number of Answers,mean_step_distance,100,-0.010974498081490475,0.9137034157632985,0.9684774064070748,False
AQT Pencil - Originality,n_searches,107,-0.010583088922988074,0.9138453475841116,0.9684774064070748,False
AQT Complexity Score,n_pages,107,0.008834771668437,0.9280361477377438,0.9723229196485563,False
AQT Pencil - Originality,mean_step_distance,100,-0.00865395586273561,0.9319011555762335,0.9723229196485563,False
AQT Complexity Score,n_searches,107,0.007405932434285916,0.9396507783645869,0.9723229196485563,False
AQT Pencil - Number of Answers,search_vs_link_ratio,105,0.006755330408451741,0.9454722403456558,0.9723229196485563,False
AQT Pillow - Number of Answers,var_dwell,105,-0.00668794678116574,0.9460153256375358,0.9723229196485563,False
AUT Belt - Number of Answers,search_vs_link_ratio,105,0.006400230260455532,0.9483344816875653,0.9723229196485563,False
AQT Pillow - Originality,mean_dwell,104,0.005927720335010189,0.9523778341173038,0.9723229196485563,False
AUT Belt - Number of Answers,var_dwell,105,0.004681954419741304,0.9621930600410008,0.9772273266041415,False
AQT Complexity Score,revisit_rate,105,-0.003460460560967116,0.9720519864535958,0.9821250640334259,False
Verbal Fluency - Number of Answers,search_vs_link_ratio,105,-0.0025903296111637426,0.9790776454680526,0.9841244374550013,False
AQT Pencil - Originality,var_step_distance,100,-0.00018015964715696378,0.9985806074495772,0.9985806074495772,False
